CONFERENCE;TITLE;BOOKTITLE;SERIES;VOLUME;PUBLISHER;YEAR;ID
conf/alenex/2008;Proceedings of the Tenth Workshop on Algorithm Engineering and Experiments ALENEX 2008 San Francisco California USA January 19 2008;ALENEX;?;?;SIAM;2008;978-1-61197-288-7
conf/alenex/2009;Proceedings of the Eleventh Workshop on Algorithm Engineering and Experiments ALENEX 2009 New York New York USA January 3 2009;ALENEX;?;?;SIAM;2009;978-0-898719-30-7
conf/alenex/2010;Proceedings of the Twelfth Workshop on Algorithm Engineering and Experiments ALENEX 2010 Austin Texas USA January 16 2010;ALENEX;?;?;SIAM;2010;978-0-898719-31-4
conf/alenex/2011;Proceedings of the Thirteenth Workshop on Algorithm Engineering and Experiments ALENEX 2011 Holiday Inn San Francisco Golden Gateway San Francisco California USA January 22 2011;ALENEX;?;?;SIAM;2011;978-1-61197-291-7
conf/alenex/2012;Proceedings of the 14th Meeting on Algorithm Engineering &amp Experiments ALENEX 2012 The Westin Miyako Kyoto Japan January 16 2012;ALENEX;?;?;SIAM / Omnipress;2012;978-1-61197-212-2
conf/alenex/2013;Proceedings of the 15th Meeting on Algorithm Engineering and Experiments ALENEX 2013 New Orleans Louisiana USA January 7 2013;ALENEX;?;?;SIAM;2013;978-1-61197-253-5
conf/alenex/2014;2014 Proceedings of the Sixteenth Workshop on Algorithm Engineering and Experiments ALENEX 2014 Portland Oregon USA January 5 2014;ALENEX;?;?;SIAM;2014;978-1-61197-319-8
conf/alenex/2015;Proceedings of the Seventeenth Workshop on Algorithm Engineering and Experiments ALENEX 2015 San Diego CA USA January 5 2015;ALENEX;?;?;SIAM;2015;978-1-61197-375-4
conf/alenex/2016;Proceedings of the Eighteenth Workshop on Algorithm Engineering and Experiments ALENEX 2016 Arlington Virginia USA January 10 2016;ALENEX;?;?;SIAM;2016;978-1-61197-431-7
conf/alenex/2017;Proceedings of the Ninteenth Workshop on Algorithm Engineering and Experiments ALENEX 2017 Barcelona Spain Hotel Porta Fira January 17-18 2017.;ALENEX;?;?;SIAM;2017;978-1-61197-476-8
conf/algocloud/2015;Algorithmic Aspects of Cloud Computing - First International Workshop ALGOCLOUD 2015 Patras Greece September 14-15 2015. Revised Selected Papers;ALGOCLOUD;Lecture Notes in Computer Science;9511;Springer;2016;978-3-319-29918-1
conf/algocloud/2016;Algorithmic Aspects of Cloud Computing - Second International Workshop ALGOCLOUD 2016 Aarhus Denmark August 22 2016 Revised Selected Papers;ALGOCLOUD;Lecture Notes in Computer Science;10230;?;2017;978-3-319-57044-0
conf/algol/1970;ALGOL 68 Implementation: Proceedings of the IFIP Working Conference on ALGOL 68 Implementation Munich Germany July 20-24 1970;ALGOL 68 Implementation;?;?;North-Holland;1971;0-7204-2045-8
conf/algosensors/2004;Algorithmic Aspects of Wireless Sensor Networks: First International Workshop ALGOSENSORS 2004 Turku Finland July 16 2004. Proceedings;ALGOSENSORS;Lecture Notes in Computer Science;3121;Springer;2004;3-540-22476-9
conf/algosensors/2006;Algorithmic Aspects of Wireless Sensor Networks Second International Workshop ALGOSENSORS 2006 Venice Italy July 15 2006 Revised Selected Papers;ALGOSENSORS;Lecture Notes in Computer Science;4240;Springer;2006;3-540-69085-9
conf/algosensors/2007;Algorithmic Aspects of Wireless Sensor Networks Third International Workshop ALGOSENSORS 2007 Wroclaw Poland July 14 2007 Revised Selected Papers;ALGOSENSORS;Lecture Notes in Computer Science;4837;Springer;2008;978-3-540-77870-7
conf/algosensors/2008;Algorithmic Aspects of Wireless Sensor Networks Fourth International Workshop ALGOSENSORS 2008 Reykjavik Iceland July 2008. Revised Selected Papers;ALGOSENSORS;Lecture Notes in Computer Science;5389;Springer;2008;978-3-540-92861-4
conf/algosensors/2009;Algorithmic Aspects of Wireless Sensor Networks 5th International Workshop ALGOSENSORS 2009 Rhodes Greece July 10-11 2009. Revised Selected Papers;ALGOSENSORS;Lecture Notes in Computer Science;5804;Springer;2009;978-3-642-05433-4
conf/algosensors/2010;Algorithms for Sensor Systems - 6th International Workshop on Algorithms for Sensor Systems Wireless Ad Hoc Networks and Autonomous Mobile Entities ALGOSENSORS 2010 Bordeaux France July 5 2010 Revised Selected Papers;ALGOSENSORS;Lecture Notes in Computer Science;6451;Springer;2010;978-3-642-16987-8
conf/algosensors/2011;Algorithms for Sensor Systems - 7th International Symposium on Algorithms for Sensor Systems Wireless Ad Hoc Networks and Autonomous Mobile Entities ALGOSENSORS 2011 Saarbrücken Germany September 8-9 2011 Revised Selected Papers;ALGOSENSORS;Lecture Notes in Computer Science;7111;Springer;2012;978-3-642-28208-9
conf/algosensors/2012;Algorithms for Sensor Systems 8th International Symposium on Algorithms for Sensor Systems Wireless Ad Hoc Networks and Autonomous Mobile Entities ALGOSENSORS 2012 Ljubljana Slovenia September 13-14 2012. Revised Selected Papers;ALGOSENSORS;Lecture Notes in Computer Science;7718;Springer;2013;978-3-642-36091-6
conf/algosensors/2013;Algorithms for Sensor Systems - 9th International Symposium on Algorithms and Experiments for Sensor Systems Wireless Networks and Distributed Robotics ALGOSENSORS 2013 Sophia Antipolis France September 5-6 2013 Revised Selected Papers;ALGOSENSORS;Lecture Notes in Computer Science;8243;Springer;2014;978-3-642-45345-8
